gender,id,exp,exp_level,race,attribute,ext,name,raw_image_folder,file,projected_npz,projected_file
M,14,AN,3,WH,F2D,bmp,M0014_AN03WH_F2D,/home/vicky/Documents/BU_3DFE/M0014,M0014_AN03WH_F2D.bmp,"[[[ 0.38643727  3.0312533   2.1955082  ... -1.5500326  -1.2728888
   -0.38877368]
  [ 0.38643727  3.0312533   2.1955082  ... -1.5500326  -1.2728888
   -0.38877368]
  [ 0.38643727  3.0312533   2.1955082  ... -1.5500326  -1.2728888
   -0.38877368]
  ...
  [ 0.38643727  3.0312533   2.1955082  ... -1.5500326  -1.2728888
   -0.38877368]
  [ 0.38643727  3.0312533   2.1955082  ... -1.5500326  -1.2728888
   -0.38877368]
  [ 0.38643727  3.0312533   2.1955082  ... -1.5500326  -1.2728888
   -0.38877368]]]",images/results/BU_3DFE/M0014_AN03WH_F2D/projected_w.npz
M,14,SA,4,WH,F2D,bmp,M0014_SA04WH_F2D,/home/vicky/Documents/BU_3DFE/M0014,M0014_SA04WH_F2D.bmp,"[[[ 1.477315    0.70221144 -0.6165913  ... -0.46734142 -0.9116952
   -0.5052554 ]
  [ 1.477315    0.70221144 -0.6165913  ... -0.46734142 -0.9116952
   -0.5052554 ]
  [ 1.477315    0.70221144 -0.6165913  ... -0.46734142 -0.9116952
   -0.5052554 ]
  ...
  [ 1.477315    0.70221144 -0.6165913  ... -0.46734142 -0.9116952
   -0.5052554 ]
  [ 1.477315    0.70221144 -0.6165913  ... -0.46734142 -0.9116952
   -0.5052554 ]
  [ 1.477315    0.70221144 -0.6165913  ... -0.46734142 -0.9116952
   -0.5052554 ]]]",images/results/BU_3DFE/M0014_SA04WH_F2D/projected_w.npz
M,14,HA,2,WH,F2D,bmp,M0014_HA02WH_F2D,/home/vicky/Documents/BU_3DFE/M0014,M0014_HA02WH_F2D.bmp,"[[[ 0.6948414  0.7128358  0.3739406 ... -2.1379058 -2.0543933 -1.4564135]
  [ 0.6948414  0.7128358  0.3739406 ... -2.1379058 -2.0543933 -1.4564135]
  [ 0.6948414  0.7128358  0.3739406 ... -2.1379058 -2.0543933 -1.4564135]
  ...
  [ 0.6948414  0.7128358  0.3739406 ... -2.1379058 -2.0543933 -1.4564135]
  [ 0.6948414  0.7128358  0.3739406 ... -2.1379058 -2.0543933 -1.4564135]
  [ 0.6948414  0.7128358  0.3739406 ... -2.1379058 -2.0543933 -1.4564135]]]",images/results/BU_3DFE/M0014_HA02WH_F2D/projected_w.npz
M,14,SU,2,WH,F2D,bmp,M0014_SU02WH_F2D,/home/vicky/Documents/BU_3DFE/M0014,M0014_SU02WH_F2D.bmp,"[[[ 1.4622443   0.33291474  0.5015893  ... -0.834161   -2.9597898
    0.25000355]
  [ 1.4622443   0.33291474  0.5015893  ... -0.834161   -2.9597898
    0.25000355]
  [ 1.4622443   0.33291474  0.5015893  ... -0.834161   -2.9597898
    0.25000355]
  ...
  [ 1.4622443   0.33291474  0.5015893  ... -0.834161   -2.9597898
    0.25000355]
  [ 1.4622443   0.33291474  0.5015893  ... -0.834161   -2.9597898
    0.25000355]
  [ 1.4622443   0.33291474  0.5015893  ... -0.834161   -2.9597898
    0.25000355]]]",images/results/BU_3DFE/M0014_SU02WH_F2D/projected_w.npz
M,14,FE,2,WH,F2D,bmp,M0014_FE02WH_F2D,/home/vicky/Documents/BU_3DFE/M0014,M0014_FE02WH_F2D.bmp,"[[[ 0.8785347   0.33823708  1.7572562  ...  0.20662448 -1.3517513
    0.58653957]
  [ 0.8785347   0.33823708  1.7572562  ...  0.20662448 -1.3517513
    0.58653957]
  [ 0.8785347   0.33823708  1.7572562  ...  0.20662448 -1.3517513
    0.58653957]
  ...
  [ 0.8785347   0.33823708  1.7572562  ...  0.20662448 -1.3517513
    0.58653957]
  [ 0.8785347   0.33823708  1.7572562  ...  0.20662448 -1.3517513
    0.58653957]
  [ 0.8785347   0.33823708  1.7572562  ...  0.20662448 -1.3517513
    0.58653957]]]",images/results/BU_3DFE/M0014_FE02WH_F2D/projected_w.npz
M,14,SU,1,WH,F2D,bmp,M0014_SU01WH_F2D,/home/vicky/Documents/BU_3DFE/M0014,M0014_SU01WH_F2D.bmp,"[[[ 0.5979473   1.010669   -0.5800376  ... -0.58372587 -3.4881682
    0.6218958 ]
  [ 0.5979473   1.010669   -0.5800376  ... -0.58372587 -3.4881682
    0.6218958 ]
  [ 0.5979473   1.010669   -0.5800376  ... -0.58372587 -3.4881682
    0.6218958 ]
  ...
  [ 0.5979473   1.010669   -0.5800376  ... -0.58372587 -3.4881682
    0.6218958 ]
  [ 0.5979473   1.010669   -0.5800376  ... -0.58372587 -3.4881682
    0.6218958 ]
  [ 0.5979473   1.010669   -0.5800376  ... -0.58372587 -3.4881682
    0.6218958 ]]]",images/results/BU_3DFE/M0014_SU01WH_F2D/projected_w.npz
M,14,DI,4,WH,F2D,bmp,M0014_DI04WH_F2D,/home/vicky/Documents/BU_3DFE/M0014,M0014_DI04WH_F2D.bmp,"[[[ 0.07970703 -1.4230154   0.23989679 ... -2.2153354  -0.48736107
   -2.7627554 ]
  [ 0.07970703 -1.4230154   0.23989679 ... -2.2153354  -0.48736107
   -2.7627554 ]
  [ 0.07970703 -1.4230154   0.23989679 ... -2.2153354  -0.48736107
   -2.7627554 ]
  ...
  [ 0.07970703 -1.4230154   0.23989679 ... -2.2153354  -0.48736107
   -2.7627554 ]
  [ 0.07970703 -1.4230154   0.23989679 ... -2.2153354  -0.48736107
   -2.7627554 ]
  [ 0.07970703 -1.4230154   0.23989679 ... -2.2153354  -0.48736107
   -2.7627554 ]]]",images/results/BU_3DFE/M0014_DI04WH_F2D/projected_w.npz
M,14,FE,1,WH,F2D,bmp,M0014_FE01WH_F2D,/home/vicky/Documents/BU_3DFE/M0014,M0014_FE01WH_F2D.bmp,"[[[ 1.2337034   0.41911379 -1.2122414  ... -1.2164761  -1.2720784
   -0.48740453]
  [ 1.2337034   0.41911379 -1.2122414  ... -1.2164761  -1.2720784
   -0.48740453]
  [ 1.2337034   0.41911379 -1.2122414  ... -1.2164761  -1.2720784
   -0.48740453]
  ...
  [ 1.2337034   0.41911379 -1.2122414  ... -1.2164761  -1.2720784
   -0.48740453]
  [ 1.2337034   0.41911379 -1.2122414  ... -1.2164761  -1.2720784
   -0.48740453]
  [ 1.2337034   0.41911379 -1.2122414  ... -1.2164761  -1.2720784
   -0.48740453]]]",images/results/BU_3DFE/M0014_FE01WH_F2D/projected_w.npz
M,14,SU,4,WH,F2D,bmp,M0014_SU04WH_F2D,/home/vicky/Documents/BU_3DFE/M0014,M0014_SU04WH_F2D.bmp,"[[[-1.1707675  -1.5246103   1.1875268  ...  0.5969044   0.20187183
   -0.50108266]
  [-1.1707675  -1.5246103   1.1875268  ...  0.5969044   0.20187183
   -0.50108266]
  [-1.1707675  -1.5246103   1.1875268  ...  0.5969044   0.20187183
   -0.50108266]
  ...
  [-1.1707675  -1.5246103   1.1875268  ...  0.5969044   0.20187183
   -0.50108266]
  [-1.1707675  -1.5246103   1.1875268  ...  0.5969044   0.20187183
   -0.50108266]
  [-1.1707675  -1.5246103   1.1875268  ...  0.5969044   0.20187183
   -0.50108266]]]",images/results/BU_3DFE/M0014_SU04WH_F2D/projected_w.npz
M,14,FE,3,WH,F2D,bmp,M0014_FE03WH_F2D,/home/vicky/Documents/BU_3DFE/M0014,M0014_FE03WH_F2D.bmp,"[[[-0.39472428 -0.11624599  1.3931054  ...  0.28427097 -0.3486498
   -0.04639327]
  [-0.39472428 -0.11624599  1.3931054  ...  0.28427097 -0.3486498
   -0.04639327]
  [-0.39472428 -0.11624599  1.3931054  ...  0.28427097 -0.3486498
   -0.04639327]
  ...
  [-0.39472428 -0.11624599  1.3931054  ...  0.28427097 -0.3486498
   -0.04639327]
  [-0.39472428 -0.11624599  1.3931054  ...  0.28427097 -0.3486498
   -0.04639327]
  [-0.39472428 -0.11624599  1.3931054  ...  0.28427097 -0.3486498
   -0.04639327]]]",images/results/BU_3DFE/M0014_FE03WH_F2D/projected_w.npz
M,14,NE,0,WH,F2D,bmp,M0014_NE00WH_F2D,/home/vicky/Documents/BU_3DFE/M0014,M0014_NE00WH_F2D.bmp,"[[[-1.2059027   1.654909   -0.5980197  ...  1.1773081  -1.8371937
   -0.10637004]
  [-1.2059027   1.654909   -0.5980197  ...  1.1773081  -1.8371937
   -0.10637004]
  [-1.2059027   1.654909   -0.5980197  ...  1.1773081  -1.8371937
   -0.10637004]
  ...
  [-1.2059027   1.654909   -0.5980197  ...  1.1773081  -1.8371937
   -0.10637004]
  [-1.2059027   1.654909   -0.5980197  ...  1.1773081  -1.8371937
   -0.10637004]
  [-1.2059027   1.654909   -0.5980197  ...  1.1773081  -1.8371937
   -0.10637004]]]",images/results/BU_3DFE/M0014_NE00WH_F2D/projected_w.npz
M,14,SA,1,WH,F2D,bmp,M0014_SA01WH_F2D,/home/vicky/Documents/BU_3DFE/M0014,M0014_SA01WH_F2D.bmp,"[[[ 1.7399935   1.5693785   2.4822137  ... -1.4477347  -0.8134013
    0.00840137]
  [ 1.7399935   1.5693785   2.4822137  ... -1.4477347  -0.8134013
    0.00840137]
  [ 1.7399935   1.5693785   2.4822137  ... -1.4477347  -0.8134013
    0.00840137]
  ...
  [ 1.7399935   1.5693785   2.4822137  ... -1.4477347  -0.8134013
    0.00840137]
  [ 1.7399935   1.5693785   2.4822137  ... -1.4477347  -0.8134013
    0.00840137]
  [ 1.7399935   1.5693785   2.4822137  ... -1.4477347  -0.8134013
    0.00840137]]]",images/results/BU_3DFE/M0014_SA01WH_F2D/projected_w.npz
M,14,FE,4,WH,F2D,bmp,M0014_FE04WH_F2D,/home/vicky/Documents/BU_3DFE/M0014,M0014_FE04WH_F2D.bmp,"[[[ 1.2877818   0.06323406  0.2126565  ... -1.5393162  -0.97386104
   -0.27733475]
  [ 1.2877818   0.06323406  0.2126565  ... -1.5393162  -0.97386104
   -0.27733475]
  [ 1.2877818   0.06323406  0.2126565  ... -1.5393162  -0.97386104
   -0.27733475]
  ...
  [ 1.2877818   0.06323406  0.2126565  ... -1.5393162  -0.97386104
   -0.27733475]
  [ 1.2877818   0.06323406  0.2126565  ... -1.5393162  -0.97386104
   -0.27733475]
  [ 1.2877818   0.06323406  0.2126565  ... -1.5393162  -0.97386104
   -0.27733475]]]",images/results/BU_3DFE/M0014_FE04WH_F2D/projected_w.npz
M,14,DI,2,WH,F2D,bmp,M0014_DI02WH_F2D,/home/vicky/Documents/BU_3DFE/M0014,M0014_DI02WH_F2D.bmp,"[[[ 2.2383063   2.344751   -1.5474552  ... -0.31675595  0.84612894
   -3.4578524 ]
  [ 2.2383063   2.344751   -1.5474552  ... -0.31675595  0.84612894
   -3.4578524 ]
  [ 2.2383063   2.344751   -1.5474552  ... -0.31675595  0.84612894
   -3.4578524 ]
  ...
  [ 2.2383063   2.344751   -1.5474552  ... -0.31675595  0.84612894
   -3.4578524 ]
  [ 2.2383063   2.344751   -1.5474552  ... -0.31675595  0.84612894
   -3.4578524 ]
  [ 2.2383063   2.344751   -1.5474552  ... -0.31675595  0.84612894
   -3.4578524 ]]]",images/results/BU_3DFE/M0014_DI02WH_F2D/projected_w.npz
M,39,SA,4,AE,F2D,bmp,M0039_SA04AE_F2D,/home/vicky/Documents/BU_3DFE/M0039,M0039_SA04AE_F2D.bmp,"[[[0.718623   0.6744995  1.371625   ... 0.44195488 0.8137629  1.289016  ]
  [0.718623   0.6744995  1.371625   ... 0.44195488 0.8137629  1.289016  ]
  [0.718623   0.6744995  1.371625   ... 0.44195488 0.8137629  1.289016  ]
  ...
  [0.718623   0.6744995  1.371625   ... 0.44195488 0.8137629  1.289016  ]
  [0.718623   0.6744995  1.371625   ... 0.44195488 0.8137629  1.289016  ]
  [0.718623   0.6744995  1.371625   ... 0.44195488 0.8137629  1.289016  ]]]",images/results/BU_3DFE/M0039_SA04AE_F2D/projected_w.npz
M,39,NE,0,AE,F2D,bmp,M0039_NE00AE_F2D,/home/vicky/Documents/BU_3DFE/M0039,M0039_NE00AE_F2D.bmp,"[[[ 0.8484395   2.1757107   1.4189179  ... -0.41131693 -2.0999212
   -1.3252356 ]
  [ 0.8484395   2.1757107   1.4189179  ... -0.41131693 -2.0999212
   -1.3252356 ]
  [ 0.8484395   2.1757107   1.4189179  ... -0.41131693 -2.0999212
   -1.3252356 ]
  ...
  [ 0.8484395   2.1757107   1.4189179  ... -0.41131693 -2.0999212
   -1.3252356 ]
  [ 0.8484395   2.1757107   1.4189179  ... -0.41131693 -2.0999212
   -1.3252356 ]
  [ 0.8484395   2.1757107   1.4189179  ... -0.41131693 -2.0999212
   -1.3252356 ]]]",images/results/BU_3DFE/M0039_NE00AE_F2D/projected_w.npz
M,39,SU,2,AE,F2D,bmp,M0039_SU02AE_F2D,/home/vicky/Documents/BU_3DFE/M0039,M0039_SU02AE_F2D.bmp,"[[[ 0.06276119  1.5543058   1.7002764  ... -0.80741787 -0.92920077
   -0.19957046]
  [ 0.06276119  1.5543058   1.7002764  ... -0.80741787 -0.92920077
   -0.19957046]
  [ 0.06276119  1.5543058   1.7002764  ... -0.80741787 -0.92920077
   -0.19957046]
  ...
  [ 0.06276119  1.5543058   1.7002764  ... -0.80741787 -0.92920077
   -0.19957046]
  [ 0.06276119  1.5543058   1.7002764  ... -0.80741787 -0.92920077
   -0.19957046]
  [ 0.06276119  1.5543058   1.7002764  ... -0.80741787 -0.92920077
   -0.19957046]]]",images/results/BU_3DFE/M0039_SU02AE_F2D/projected_w.npz
M,39,SU,1,AE,F2D,bmp,M0039_SU01AE_F2D,/home/vicky/Documents/BU_3DFE/M0039,M0039_SU01AE_F2D.bmp,"[[[ 1.6195608  -0.60310113  2.9956443  ... -0.8572367  -2.1033962
   -0.28832665]
  [ 1.6195608  -0.60310113  2.9956443  ... -0.8572367  -2.1033962
   -0.28832665]
  [ 1.6195608  -0.60310113  2.9956443  ... -0.8572367  -2.1033962
   -0.28832665]
  ...
  [ 1.6195608  -0.60310113  2.9956443  ... -0.8572367  -2.1033962
   -0.28832665]
  [ 1.6195608  -0.60310113  2.9956443  ... -0.8572367  -2.1033962
   -0.28832665]
  [ 1.6195608  -0.60310113  2.9956443  ... -0.8572367  -2.1033962
   -0.28832665]]]",images/results/BU_3DFE/M0039_SU01AE_F2D/projected_w.npz
M,39,SA,1,AE,F2D,bmp,M0039_SA01AE_F2D,/home/vicky/Documents/BU_3DFE/M0039,M0039_SA01AE_F2D.bmp,"[[[ 1.8724786   0.48319834  0.58047116 ... -0.10200413 -1.1371944
   -0.25668108]
  [ 1.8724786   0.48319834  0.58047116 ... -0.10200413 -1.1371944
   -0.25668108]
  [ 1.8724786   0.48319834  0.58047116 ... -0.10200413 -1.1371944
   -0.25668108]
  ...
  [ 1.8724786   0.48319834  0.58047116 ... -0.10200413 -1.1371944
   -0.25668108]
  [ 1.8724786   0.48319834  0.58047116 ... -0.10200413 -1.1371944
   -0.25668108]
  [ 1.8724786   0.48319834  0.58047116 ... -0.10200413 -1.1371944
   -0.25668108]]]",images/results/BU_3DFE/M0039_SA01AE_F2D/projected_w.npz
M,39,DI,2,AE,F2D,bmp,M0039_DI02AE_F2D,/home/vicky/Documents/BU_3DFE/M0039,M0039_DI02AE_F2D.bmp,"[[[ 3.0101697  1.5236167  1.2065555 ... -1.1489382  0.2770559 -0.3807299]
  [ 3.0101697  1.5236167  1.2065555 ... -1.1489382  0.2770559 -0.3807299]
  [ 3.0101697  1.5236167  1.2065555 ... -1.1489382  0.2770559 -0.3807299]
  ...
  [ 3.0101697  1.5236167  1.2065555 ... -1.1489382  0.2770559 -0.3807299]
  [ 3.0101697  1.5236167  1.2065555 ... -1.1489382  0.2770559 -0.3807299]
  [ 3.0101697  1.5236167  1.2065555 ... -1.1489382  0.2770559 -0.3807299]]]",images/results/BU_3DFE/M0039_DI02AE_F2D/projected_w.npz
M,39,SA,2,AE,F2D,bmp,M0039_SA02AE_F2D,/home/vicky/Documents/BU_3DFE/M0039,M0039_SA02AE_F2D.bmp,"[[[ 1.1214725  -0.75594693  1.3230112  ...  0.7070201  -2.626322
    1.0558192 ]
  [ 1.1214725  -0.75594693  1.3230112  ...  0.7070201  -2.626322
    1.0558192 ]
  [ 1.1214725  -0.75594693  1.3230112  ...  0.7070201  -2.626322
    1.0558192 ]
  ...
  [ 1.1214725  -0.75594693  1.3230112  ...  0.7070201  -2.626322
    1.0558192 ]
  [ 1.1214725  -0.75594693  1.3230112  ...  0.7070201  -2.626322
    1.0558192 ]
  [ 1.1214725  -0.75594693  1.3230112  ...  0.7070201  -2.626322
    1.0558192 ]]]",images/results/BU_3DFE/M0039_SA02AE_F2D/projected_w.npz
M,39,FE,4,AE,F2D,bmp,M0039_FE04AE_F2D,/home/vicky/Documents/BU_3DFE/M0039,M0039_FE04AE_F2D.bmp,"[[[ 3.5052555   0.17281589  1.1513729  ... -0.06745482 -1.396869
    0.8664794 ]
  [ 3.5052555   0.17281589  1.1513729  ... -0.06745482 -1.396869
    0.8664794 ]
  [ 3.5052555   0.17281589  1.1513729  ... -0.06745482 -1.396869
    0.8664794 ]
  ...
  [ 3.5052555   0.17281589  1.1513729  ... -0.06745482 -1.396869
    0.8664794 ]
  [ 3.5052555   0.17281589  1.1513729  ... -0.06745482 -1.396869
    0.8664794 ]
  [ 3.5052555   0.17281589  1.1513729  ... -0.06745482 -1.396869
    0.8664794 ]]]",images/results/BU_3DFE/M0039_FE04AE_F2D/projected_w.npz
M,39,HA,1,AE,F2D,bmp,M0039_HA01AE_F2D,/home/vicky/Documents/BU_3DFE/M0039,M0039_HA01AE_F2D.bmp,"[[[-0.0625909   1.0591174  -0.37618428 ... -0.02840067 -1.8287146
    0.2550285 ]
  [-0.0625909   1.0591174  -0.37618428 ... -0.02840067 -1.8287146
    0.2550285 ]
  [-0.0625909   1.0591174  -0.37618428 ... -0.02840067 -1.8287146
    0.2550285 ]
  ...
  [-0.0625909   1.0591174  -0.37618428 ... -0.02840067 -1.8287146
    0.2550285 ]
  [-0.0625909   1.0591174  -0.37618428 ... -0.02840067 -1.8287146
    0.2550285 ]
  [-0.0625909   1.0591174  -0.37618428 ... -0.02840067 -1.8287146
    0.2550285 ]]]",images/results/BU_3DFE/M0039_HA01AE_F2D/projected_w.npz
M,39,HA,3,AE,F2D,bmp,M0039_HA03AE_F2D,/home/vicky/Documents/BU_3DFE/M0039,M0039_HA03AE_F2D.bmp,"[[[ 3.0685024   2.8684993  -0.33197632 ...  1.0430696   0.00388054
    0.12699515]
  [ 3.0685024   2.8684993  -0.33197632 ...  1.0430696   0.00388054
    0.12699515]
  [ 3.0685024   2.8684993  -0.33197632 ...  1.0430696   0.00388054
    0.12699515]
  ...
  [ 3.0685024   2.8684993  -0.33197632 ...  1.0430696   0.00388054
    0.12699515]
  [ 3.0685024   2.8684993  -0.33197632 ...  1.0430696   0.00388054
    0.12699515]
  [ 3.0685024   2.8684993  -0.33197632 ...  1.0430696   0.00388054
    0.12699515]]]",images/results/BU_3DFE/M0039_HA03AE_F2D/projected_w.npz
